lang,topic,commits_count,contrib_count,issue_count,stars_count
JavaScript,security,484,4,66,1
JavaScript,database,203,8,21,268
JavaScript,api,111,2,2,430
Python,security,16934,64,1,3
C++,machine-learning,8044,160,43,11
Java,android,1077,78,59,3
Python,machine-learning,201,7,0,104
Python,security,11,0,2,119
JavaScript,api,129,16,8,248
Python,api,161,2,1,39
Java,android,173,7,25,4
Java,android,256,0,15,26
JavaScript,android,208,3,9,36
Python,api,355,18,56,616
Java,android,128,5,22,3
Python,security,944,50,131,765
JavaScript,machine-learning,30,6,1,185
Java,android,170,15,199,5
Java,android,44,2,1,259
JavaScript,api,4169,5,9,56
Java,database,3701,11,0,643
Python,android,254,86,0,44
Java,android,1093,4,25,718
Java,machine-learning,52,2,40,205
Java,android,2037,47,119,1
Java,android,36,2,0,14
Python,machine-learning,226,8,2,22
Python,security,12,4,0,12
Java,android,961,21,63,3
JavaScript,api,69,5,3,62
Java,android,23,0,0,35
Python,database,1594,46,153,204
C++,android,92,4,14,3
JavaScript,android,175,17,28,1
Java,android,112,8,20,2
Java,machine-learning,613,2,2,1
Java,android,488,2,9,4
JavaScript,api,167,0,0,60
Python,security,1417,26,0,292
C++,security,4824,92,485,38
Java,android,21,5,0,1
Python,api,1504,68,26,933
Java,android,106,13,53,2
Python,machine-learning,228,10,1,1
Python,api,2916,221,606,11
Python,machine-learning,6938,33,1,351
Java,database,715,43,1,6
C++,android,537,7,48,869
Java,android,19,0,0,0
Python,machine-learning,156,33,24,1
Python,machine-learning,9,3,0,54
JavaScript,api,56,0,0,8
JavaScript,machine-learning,29,3,0,75
Python,api,36,4,0,265
Python,machine-learning,34,0,0,27
JavaScript,api,162,4,14,70
JavaScript,api,10,0,0,62
JavaScript,database,33,3,2,172
Python,api,186,10,2,1
Python,machine-learning,733,18,2,3
Java,android,38,2,11,257
Python,machine-learning,8,0,0,1
JavaScript,security,61,0,0,31
Python,api,15,0,2,153
Python,security,22,0,7,195
JavaScript,machine-learning,280,4,0,5
JavaScript,database,121,4,1,103
JavaScript,api,17,0,3,68
C++,database,39,0,6,129
Python,machine-learning,1163,51,39,423
Java,android,82,4,1,1
Java,database,3180,53,88,569
C++,android,9369,7,16,852
JavaScript,api,248,10,3,198
Python,api,64,4,27,598
Python,database,6,0,1,29
JavaScript,api,29,2,1,25
Java,database,191,9,11,3
Java,api,13,0,4,136
Java,android,9,0,1,65
Java,security,375,19,30,2
JavaScript,api,23,0,4,137
Java,android,81,8,7,1
Python,api,285,9,18,424
Python,api,1400,174,111,780
Python,machine-learning,32,3,11,40
Python,machine-learning,250,7,0,6
C++,database,461,7,9,217
Java,android,3,0,1,1
Python,api,232,20,5,133
JavaScript,api,1681,68,7,213
C++,api,7,0,0,36
JavaScript,api,60,3,1,33
Python,api,376,0,20,196
Java,database,812,14,7,647
Python,api,508,46,41,1
Python,api,3279,27,105,81
Java,security,159,0,0,36
JavaScript,api,173,3,11,8
C++,machine-learning,1427,44,12,796
Python,machine-learning,23,0,9,2
Python,api,20,4,2,21
Java,api,1361,44,70,592
Python,machine-learning,543,12,10,22
JavaScript,api,61,2,1,29
Python,security,949,9,29,1
Java,android,101,8,23,2
JavaScript,database,52,11,15,229
JavaScript,api,120,3,3,102
JavaScript,android,58,4,4,202
Java,security,18,2,0,704
Java,android,57,4,0,10
Python,api,39,3,1,15
Python,api,163,0,3,40
Java,api,9,2,5,211
Java,android,357,10,78,423
Python,api,383,0,189,329
Java,api,1134,42,289,10
JavaScript,android,56,2,0,78
C++,android,2472,24,3,84
Python,machine-learning,219,13,38,1
Python,machine-learning,20,4,21,1
JavaScript,security,740,9,5,497
Python,api,312,24,20,188
JavaScript,database,2007,145,307,2
Python,security,30,0,2,1
JavaScript,database,4,0,0,5
Java,database,893,34,0,150
Java,android,673,17,191,5
JavaScript,api,163,0,1,25
JavaScript,database,174,8,4,89
C++,machine-learning,1455,22,10,838
Python,machine-learning,850,19,73,2
Python,machine-learning,937,10,29,44
Python,machine-learning,8,0,2,68
Python,machine-learning,41,0,79,1
Python,machine-learning,2400,92,116,1
Python,api,204,10,41,331
JavaScript,api,393,41,48,4
JavaScript,api,114,10,15,60
Java,android,3215,28,13,578
Python,machine-learning,69,2,0,2
Python,machine-learning,765,60,39,5
JavaScript,api,267,5,15,397
Java,android,492,0,0,17
Python,api,1640,103,55,2
JavaScript,machine-learning,52,3,0,143
JavaScript,api,345,8,4,13
Python,api,622,29,38,1
JavaScript,api,242,14,1,194
C++,machine-learning,419,3,3,295
Python,machine-learning,49,0,0,24
Java,android,88,7,62,4
Python,security,972,11,29,0
Java,android,616,0,3,3
C++,machine-learning,1012,74,278,5
Python,database,211,10,25,353
JavaScript,api,38,0,7,380
JavaScript,api,11,3,3,81
Python,api,40,0,17,699
C++,android,484,3,18,27
Java,database,7,0,3,264
Java,android,142,8,27,1
JavaScript,api,5,0,2,116
Java,android,123,6,3,324
JavaScript,android,209,2,0,0
Java,api,44,3,5,1
C++,api,1050,10,7,166
Python,machine-learning,123,6,0,130
Python,machine-learning,7,0,0,43
Java,android,30,0,4,1
Python,android,41,0,0,13
Python,api,292,3,3,35
Python,machine-learning,91,3,14,298
Python,api,58,0,0,16
C++,security,9601,121,0,734
Python,api,2,8,2,107
Java,security,626,0,0,10
Python,machine-learning,379,6,7,1
Python,machine-learning,17,2,2,376
JavaScript,api,9,3,0,128
Python,database,260,13,28,888
JavaScript,android,398,9,18,309
Java,android,72,2,1,17
JavaScript,api,2118,33,29,789
JavaScript,api,250,3,0,4
C++,android,13,0,1,53
Java,database,323,13,4,160
Python,api,560,4,2,349
JavaScript,api,255,4,1,101
Python,machine-learning,88,4,6,710
Java,android,39,2,11,1
JavaScript,api,588,6,2,134
Python,api,1656,0,0,14
JavaScript,api,458,10,18,8
JavaScript,api,23,4,3,261
Java,database,1206,95,208,2
Java,security,3097,4,0,23
